_id,_full_text,ID_UEV,CIVIQUE_DEBUT,CIVIQUE_FIN,NOM_RUE,SUITE_DEBUT,MUNICIPALITE,ETAGE_HORS_SOL,NOMBRE_LOGEMENT,ANNEE_CONSTRUCTION,CODE_UTILISATION,LETTRE_DEBUT,LETTRE_FIN,LIBELLE_UTILISATION,CATEGORIE_UEF,MATRICULE83,SUPERFICIE_TERRAIN,SUPERFICIE_BATIMENT,NO_ARROND_ILE_CUM
32,"-000':20 '-0000':21 '-4':19 '-5794':18 '-64':17 '03082492':1 '1000':13 '1152':23 '1964':12 '25':11 '344':22 '4':10 '50':9 '810':2,3 '9343':16 'de':5 'lièg':6 'logement':14 'mtl':8 'ouest':7 'rem25':24 'rue':4 'régulier':15",3082492,810,810,rue de Liège Ouest  ,,50,4,25,1964,1000,,,Logement,Régulier,9343-64-5794-4-000-0000,344,1152,Arrondissement de Villeray - Saint-Michel - Parc-Extension (Montréal)
127,"-0':17 '-000':18 '-0000':19 '-27':15 '-8148':16 '01010876':1 '1000':11 '1068':20 '1921':10 '2197':21 '26':9 '29':7 '3':8 '52':2,3 '9737':14 'academi':4 'logement':12 'rem99':22 'road':5 'régulier':13 'wmt':6",1010876,52,52,Academy Road  ,,29,3,26,1921,1000,,,Logement,Régulier,9737-27-8148-0-000-0000,1068,2197,(Westmount)
228,"-0':18 '-000':19 '-0000':20 '-1432':17 '-77':16 '01001695':1 '1000':12 '1968':11 '24':10 '3':9 '350':21 '50':8 '5043':2,3 '738':22 '9742':15 'bullion':6 'de':5 'logement':13 'mtl':7 'rem21':23 'rue':4 'régulier':14",1001695,5043,5043,rue De Bullion  ,,50,3,24,1968,1000,,,Logement,Régulier,9742-77-1432-0-000-0000,350,738,Arrondissement du Plateau-Mont-Royal (Montréal)
258,-0':19 '-000':20 '-0000':21 '-17':17 '-9722':18 '01002045':1 '1000':13 '1012':22 '1926':12 '26':11 '4':10 '4151':23 '4584':2 '4596':3 '50':9 '9842':16 'deni':7 'logement':14 'mtl':8 'rem21':24 'rue':4 'régulier':15 'saint':6 'saint-deni':5,1002045,4584,4596,rue Saint-Denis  ,,50,4,26,1926,1000,,,Logement,Régulier,9842-17-9722-0-000-0000,1012,4151,Arrondissement du Plateau-Mont-Royal (Montréal)
313,-000':19 '-0000':20 '-2232':17 '-60':16 '-9':18 '01001029':1 '1000':12 '1284':22 '1931':11 '32':10 '4':9 '4669':2 '4671':3 '50':8 '509':21 '9742':15 'avenu':4 'du':5 'logement':13 'mtl':7 'parc':6 'rem21':23 'régulier':14,1001029,4669,4671,avenue du Parc  ,,50,4,32,1931,1000,,,Logement,Régulier,9742-60-2232-9-000-0000,509,1284,Arrondissement du Plateau-Mont-Royal (Montréal)
378,"-000':18 '-0000':19 '-2':17 '-5603':16 '-78':15 '01037825':1 '1000':11 '1870':10 '21':9 '271':20 '3547':2,3 '4':8 '50':7 '828':21 '9840':14 'logement':12 'mtl':6 'rem21':22 'rue':4 'régulier':13 'univers':5",1037825,3547,3547,rue University  ,,50,4,21,1870,1000,,,Logement,Régulier,9840-78-5603-2-000-0000,271,828,Arrondissement du Plateau-Mont-Royal (Montréal)
556,-000':20 '-0000':21 '-1':19 '-2423':18 '-85':17 '01035890':1 '1000':13 '1002':22 '1302':23 '1976':12 '23':11 '3':10 '50':9 '805':2 '825':3 '9737':16 'logement':14 'mtl':8 'philipp':7 'rem20':24 'rue':4 'régulier':15 'saint':6 'saint-philipp':5,1035890,805,825,rue Saint-Philippe  ,,50,3,23,1976,1000,,,Logement,Régulier,9737-85-2423-1-000-0000,1002,1302,Arrondissement du Sud-Ouest (Montréal)
581,"-000':18 '-0000':19 '-27':15 '-3':17 '-4438':16 '01039490':1 '1000':11 '1122':20 '1535':2,3 '1940':10 '23':9 '2780':21 '4':8 '50':7 '9839':14 'avenu':4 'logement':12 'mtl':6 'rem19':22 'régulier':13 'summerhil':5",1039490,1535,1535,avenue Summerhill  ,,50,4,23,1940,1000,,,Logement,Régulier,9839-27-4438-3-000-0000,1122,2780,Arrondissement de Ville-Marie (Montréal)
978,"-0':22 '-000':23 '-0000':24 '-7607':21 '-87':20 '01001748':1 '1000':16 '1959':15 '29':14 '3':13 '4879':2 '4895':3 '50':12 '511':25 '861':26 '9742':19 'avenu':4 'de':5,9 'hôtel':8 'hôtel-de-vill':7 'l':6 'logement':17 'mtl':11 'rem21':27 'régulier':18 'vill':10",1001748,4879,4895,avenue de l' Hôtel-de-Ville  ,,50,3,29,1959,1000,,,Logement,Régulier,9742-87-7607-0-000-0000,511,861,Arrondissement du Plateau-Mont-Royal (Montréal)
1015,"-000':20 '-0000':21 '-0316':18 '-5':19 '-53':17 '03073561':1 '1000':13 '1007':22 '1959':12 '2649':23 '29':11 '2930':2,3 '5':10 '50':9 '9540':16 'boulevard':4 'logement':14 'montpetit':7 'mtl':8 'rem34':24 'régulier':15 'édouard':6 'édouard-montpetit':5",3073561,2930,2930,boulevard Édouard-Montpetit  ,,50,5,29,1959,1000,,,Logement,Régulier,9540-53-0316-5-000-0000,1007,2649,Arrondissement de Côte-des-Neiges - Notre-Dame-de-Grâce (Montréal)
